feature,mean_importance
feature_15,-0.0125782551031135
feature_14,-0.008314529629071222
feature_1,-0.004083431974506224
random_feature,-0.003222434474362057
feature_17,-0.0020742894117568244
feature_19,-0.0019105719488368145
feature_7,-0.001204036826058874
feature_2,-0.0011936077654477683
feature_11,-0.0009367649036013282
feature_10,-0.0006317442247585792
feature_18,-0.0004919483464128404
feature_24,-0.0003902231106523324
feature_6,-0.0003604550796703299
feature_13_multiply_feature_9,0.0
feature_13_ratio_feature_17,0.0
feature_13_diff_feature_24,0.0
feature_17_ratio_feature_13,0.0
feature_24_multiply_feature_13,0.0
feature_17_multiply_feature_13,0.0
feature_9_ratio_feature_13,0.0
feature_23_sum_feature_13,0.0
feature_13_ratio_feature_2,0.0
feature_20,0.0
feature_22,0.0
feature_21,0.0
feature_24_ratio_feature_13,0.0
feature_23,0.0
feature_13,2.2204460492503132e-17
feature_5,0.0003288586599251353
feature_4,0.0009625647813968907
feature_16,0.0014880906124558279
feature_12,0.0060458705039419195
feature_9,0.00844056807935889
feature_8,0.014334438538407102
feature_3,0.05795935287706135
