feature,mean_importance
feature_16,-0.01308470493174132
random_feature,-0.008787041258341465
feature_6,-0.0066608174867961445
feature_5,-0.006335108469172823
feature_21,-0.006058848023059849
feature_11,-0.004794029989058979
feature_24,-0.003638367023965272
feature_20,-0.00156379982540098
feature_1,-0.0011520116125876
feature_15,-0.0007455130233406937
feature_23,-3.473338918233981e-05
feature_4,0.0015769734143318947
feature_18,0.0020666616940534953
feature_26,0.003337046735057414
feature_7,0.003635214989079727
feature_25,0.005049232503927437
feature_10,0.005179638872131309
feature_13,0.006284293327363755
feature_8,0.006972570270464518
feature_9,0.01028907209059724
feature_12,0.0130460743086799
feature_22,0.019435103016477974
feature_3,0.019691588251306326
feature_2,0.02147805860034264
feature_17,0.021694280543076806
feature_14,0.0346567093552093
feature_19,0.04658787701309726
